[sonic] running official CMake benchmark (benchmark/main.cpp)
2026-08-24T10:22:35+08:00
Running /tmp/boostkit-perf/32682799285-1/HPC/sonic/1.0.2/aarch64/build/benchmark/bench
Run on (256 X 2900 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x128)
  L1 Instruction 64 KiB (x128)
  L2 Unified 1280 KiB (x128)
  L3 Unified 57344 KiB (x4)
Load Average: 0.77, 0.26, 0.09
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
twitter/Decode_Rapidjson_cv                            0.02 %          0.02 %             5 bytes_per_second=0.02% testdata/twitter.json
twitter/Decode_YYjson_mean                           801261 ns       800665 ns            5 bytes_per_second=314.907Mi/s testdata/twitter.json
twitter/Decode_YYjson_median                         801015 ns       800444 ns            5 bytes_per_second=314.994Mi/s testdata/twitter.json
twitter/Decode_YYjson_stddev                            600 ns          570 ns            5 bytes_per_second=229.401Ki/s testdata/twitter.json
twitter/Decode_YYjson_cv                               0.07 %          0.07 %             5 bytes_per_second=0.07% testdata/twitter.json
twitter/Decode_SIMDjson_mean                         132888 ns       132769 ns            5 bytes_per_second=1.85454Gi/s testdata/twitter.json
twitter/Decode_SIMDjson_median                       132878 ns       132754 ns            5 bytes_per_second=1.85476Gi/s testdata/twitter.json
twitter/Decode_SIMDjson_stddev                         73.7 ns         69.4 ns            5 bytes_per_second=1016.31Ki/s testdata/twitter.json
twitter/Decode_SIMDjson_cv                             0.06 %          0.05 %             5 bytes_per_second=0.05% testdata/twitter.json
twitter/Decode_JsonCpp_mean                        11512711 ns     11504169 ns            5 bytes_per_second=21.9169Mi/s testdata/twitter.json
twitter/Decode_JsonCpp_median                      11512647 ns     11503573 ns            5 bytes_per_second=21.918Mi/s testdata/twitter.json
twitter/Decode_JsonCpp_stddev                         15035 ns        15190 ns            5 bytes_per_second=29.6082Ki/s testdata/twitter.json
twitter/Decode_JsonCpp_cv                              0.13 %          0.13 %             5 bytes_per_second=0.13% testdata/twitter.json
poet/Decode_SonicDyn_mean                           1525589 ns      1524234 ns            5 bytes_per_second=2.14641Gi/s testdata/poet.json
poet/Decode_SonicDyn_median                         1525570 ns      1524255 ns            5 bytes_per_second=2.14638Gi/s testdata/poet.json
poet/Decode_SonicDyn_stddev                             130 ns         78.1 ns            5 bytes_per_second=115.342Ki/s testdata/poet.json
poet/Decode_SonicDyn_cv                                0.01 %          0.01 %             5 bytes_per_second=0.01% testdata/poet.json
poet/Decode_Rapidjson_mean                         13968593 ns     13959461 ns            5 bytes_per_second=239.991Mi/s testdata/poet.json
poet/Decode_Rapidjson_median                       13967914 ns     13958770 ns            5 bytes_per_second=240.003Mi/s testdata/poet.json
poet/Decode_Rapidjson_stddev                           3215 ns         3145 ns            5 bytes_per_second=55.3575Ki/s testdata/poet.json
poet/Decode_Rapidjson_cv                               0.02 %          0.02 %             5 bytes_per_second=0.02% testdata/poet.json
poet/Decode_YYjson_mean                             6590910 ns      6585549 ns            5 bytes_per_second=508.712Mi/s testdata/poet.json
