                       	strtok
Length    6/3, alignment 15/ 3, found:	34.2627
Length    6/3, alignment 15/ 3, fail:	33.9746
Length    6/3, alignment 15/ 9, found:	34.2725
Length    6/3, alignment 15/ 9, fail:	33.9453
Length    6/3, alignment 15/15, found:	34.2432
Length    6/3, alignment 15/15, fail:	33.9355
Length    9/3, alignment  0/ 0, found:	33.335
Length    9/3, alignment  0/ 0, fail:	33.291
Length    9/3, alignment  0/ 3, found:	33.2715
Length    9/3, alignment  0/ 3, fail:	33.2959
Length    9/3, alignment  0/ 9, found:	33.291
Length    9/3, alignment  0/ 9, fail:	33.252
Length    9/3, alignment  0/15, found:	33.3008
Length    9/3, alignment  0/15, fail:	33.2666
Length    9/3, alignment  3/ 0, found:	33.291
Length    9/3, alignment  3/ 0, fail:	33.3008
Length    9/3, alignment  3/ 3, found:	35.1074
Length    9/3, alignment  3/ 3, fail:	33.2617
Length    9/3, alignment  3/ 9, found:	33.2861
Length    9/3, alignment  3/ 9, fail:	33.2715
Length    9/3, alignment  3/15, found:	33.291
Length    9/3, alignment  3/15, fail:	33.3057
Length    9/3, alignment  9/ 0, found:	33.3301
Length    9/3, alignment  9/ 0, fail:	34.2627
Length    9/3, alignment  9/ 3, found:	33.2568
Length    9/3, alignment  9/ 3, fail:	34.2334
Length    9/3, alignment  9/ 9, found:	33.2861
Length    9/3, alignment  9/ 9, fail:	34.2676
Length    9/3, alignment  9/15, found:	33.3008
Length    9/3, alignment  9/15, fail:	34.2676
Length    9/3, alignment 15/ 0, found:	34.248
Length    9/3, alignment 15/ 0, fail:	33.9355
Length    9/3, alignment 15/ 3, found:	34.2969
Length    9/3, alignment 15/ 3, fail:	33.9453
Length    9/3, alignment 15/ 9, found:	34.2627
Length    9/3, alignment 15/ 9, fail:	33.96
Length    9/3, alignment 15/15, found:	34.2627
Length    9/3, alignment 15/15, fail:	33.9355
Length   12/3, alignment  0/ 0, found:	33.3008
Length   12/3, alignment  0/ 0, fail:	33.3301
Length   12/3, alignment  0/ 3, found:	33.3105
Length   12/3, alignment  0/ 3, fail:	33.2422
Length   12/3, alignment  0/ 9, found:	33.2959
Length   12/3, alignment  0/ 9, fail:	33.2568
Length   12/3, alignment  0/15, found:	33.3057
Length   12/3, alignment  0/15, fail:	33.2959
Length   12/3, alignment  3/ 0, found:	33.2861
Length   12/3, alignment  3/ 0, fail:	33.2617
Length   12/3, alignment  3/ 3, found:	33.2764
Length   12/3, alignment  3/ 3, fail:	33.3008
Length   12/3, alignment  3/ 9, found:	33.2861
Length   12/3, alignment  3/ 9, fail:	33.2617
Length   12/3, alignment  3/15, found:	33.3154
Length   12/3, alignment  3/15, fail:	33.2715
Length   12/3, alignment  9/ 0, found:	34.2236
Length   12/3, alignment  9/ 0, fail:	34.2432
Length   12/3, alignment  9/ 3, found:	34.2627
Length   12/3, alignment  9/ 3, fail:	34.2676
Length   12/3, alignment  9/ 9, found:	34.292
Length   12/3, alignment  9/ 9, fail:	34.1992
Length   12/3, alignment  9/15, found:	34.248
Length   12/3, alignment  9/15, fail:	34.2627
Length   12/3, alignment 15/ 0, found:	34.2627
Length   12/3, alignment 15/ 0, fail:	33.9502
Length   12/3, alignment 15/ 3, found:	34.2383
Length   12/3, alignment 15/ 3, fail:	33.9453
Length   12/3, alignment 15/ 9, found:	34.3115
Length   12/3, alignment 15/ 9, fail:	33.9502
Length   12/3, alignment 15/15, found:	34.2529
Length   12/3, alignment 15/15, fail:	33.96
Length   15/3, alignment  0/ 0, found:	33.3057
Length   15/3, alignment  0/ 0, fail:	33.2764
Length   15/3, alignment  0/ 3, found:	35.7617
Length   15/3, alignment  0/ 3, fail:	33.252
Length   15/3, alignment  0/ 9, found:	33.3008
Length   15/3, alignment  0/ 9, fail:	33.3008
Length   15/3, alignment  0/15, found:	33.3301
Length   15/3, alignment  0/15, fail:	33.3105
Length   15/3, alignment  3/ 0, found:	33.3496
Length   15/3, alignment  3/ 0, fail:	34.2432
Length   15/3, alignment  3/ 3, found:	33.3105
Length   15/3, alignment  3/ 3, fail:	34.2676
Length   15/3, alignment  3/ 9, found:	33.3057
Length   15/3, alignment  3/ 9, fail:	34.2871
Length   15/3, alignment  3/15, found:	33.3301
Length   15/3, alignment  3/15, fail:	34.2334
Length   15/3, alignment  9/ 0, found:	33.3398
