                       	__strcpy_chk	normal_strcpy
Length  256, alignment  5/ 5:	10.119	8.52386
Length  256, alignment  5/ 5:	10.1065	8.51883
Length  512, alignment  6/ 4:	19.8739	14.3789
Length  512, alignment  4/ 6:	19.9304	14.2023
Length  512, alignment  6/ 6:	19.6609	14.22
Length  512, alignment  6/ 6:	19.6888	14.3707
Length 1024, alignment  7/ 6:	38.8703	26.9035
Length 1024, alignment  6/ 7:	38.5051	26.7147
Length 1024, alignment  7/ 7:	36.8622	25.77
Length 1024, alignment  7/ 7:	36.842	26.8712
Length    0, alignment  0/ 0:	3.6245	2.41425
Length    0, alignment  0/ 0:	3.56384	2.41394
Length    0, alignment  0/ 0:	3.56422	2.41394
Didn't expect signal from child: got `Aborted'
