[sonic-cpp] running official CMake benchmark (benchmark/main.cpp)
2026-09-08T11:03:37+08:00
Running /home/runner/boostkit-perf/sonic-cpp/1.0.2/aarch64/34181714311-2/build/benchmark/bench
Run on (384 X 2299.08 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x192)
  L1 Instruction 128 KiB (x192)
  L2 Unified 1024 KiB (x192)
  L3 Unified 23296 KiB (x24)
Load Average: 3.12, 2.89, 2.76
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
github_events/Decode_SonicDyn_mean                    48105 ns        47999 ns            5 bytes_per_second=1.26377Gi/s testdata/github_events.json
github_events/Decode_SonicDyn_median                  48096 ns        48001 ns            5 bytes_per_second=1.2637Gi/s testdata/github_events.json
github_events/Decode_SonicDyn_stddev                   52.6 ns         37.3 ns            5 bytes_per_second=1.00657Mi/s testdata/github_events.json
github_events/Decode_SonicDyn_cv                       0.11 %          0.08 %             5 bytes_per_second=0.08% testdata/github_events.json
github_events/Decode_Rapidjson_mean                  217659 ns       217259 ns            5 bytes_per_second=285.905Mi/s testdata/github_events.json
github_events/Decode_Rapidjson_median                217638 ns       217219 ns            5 bytes_per_second=285.954Mi/s testdata/github_events.json
github_events/Decode_Rapidjson_stddev                   911 ns          893 ns            5 bytes_per_second=1.17348Mi/s testdata/github_events.json
github_events/Decode_Rapidjson_cv                      0.42 %          0.41 %             5 bytes_per_second=0.41% testdata/github_events.json
github_events/Decode_YYjson_mean                     219341 ns       218948 ns            5 bytes_per_second=283.697Mi/s testdata/github_events.json
github_events/Decode_YYjson_median                   219279 ns       218898 ns            5 bytes_per_second=283.761Mi/s testdata/github_events.json
github_events/Decode_YYjson_stddev                      139 ns         78.1 ns            5 bytes_per_second=103.598Ki/s testdata/github_events.json
github_events/Decode_YYjson_cv                         0.06 %          0.04 %             5 bytes_per_second=0.04% testdata/github_events.json
github_events/Decode_SIMDjson_mean                    37214 ns        37136 ns            5 bytes_per_second=1.63346Gi/s testdata/github_events.json
github_events/Decode_SIMDjson_median                  37161 ns        37085 ns            5 bytes_per_second=1.63567Gi/s testdata/github_events.json
github_events/Decode_SIMDjson_stddev                    156 ns          137 ns            5 bytes_per_second=6.14047Mi/s testdata/github_events.json
github_events/Decode_SIMDjson_cv                       0.42 %          0.37 %             5 bytes_per_second=0.37% testdata/github_events.json
github_events/Decode_JsonCpp_mean                   2370226 ns      2363302 ns            5 bytes_per_second=26.2833Mi/s testdata/github_events.json
github_events/Decode_JsonCpp_median                 2367753 ns      2360473 ns            5 bytes_per_second=26.3145Mi/s testdata/github_events.json
github_events/Decode_JsonCpp_stddev                    9177 ns         8508 ns            5 bytes_per_second=96.4473Ki/s testdata/github_events.json
github_events/Decode_JsonCpp_cv                        0.39 %          0.36 %             5 bytes_per_second=0.36% testdata/github_events.json
poet/Decode_SonicDyn_mean                           1740514 ns      1736927 ns            5 bytes_per_second=1.88357Gi/s testdata/poet.json
poet/Decode_SonicDyn_median                         1740491 ns      1736941 ns            5 bytes_per_second=1.88356Gi/s testdata/poet.json
poet/Decode_SonicDyn_stddev                             464 ns          301 ns            5 bytes_per_second=342.792Ki/s testdata/poet.json
poet/Decode_SonicDyn_cv                                0.03 %          0.02 %             5 bytes_per_second=0.02% testdata/poet.json
poet/Decode_Rapidjson_mean                         11887272 ns     11863868 ns            5 bytes_per_second=282.383Mi/s testdata/poet.json
poet/Decode_Rapidjson_median                       11879946 ns     11854663 ns            5 bytes_per_second=282.602Mi/s testdata/poet.json
poet/Decode_Rapidjson_stddev                          23695 ns        22516 ns            5 bytes_per_second=548.083Ki/s testdata/poet.json
poet/Decode_Rapidjson_cv                               0.20 %          0.19 %             5 bytes_per_second=0.19% testdata/poet.json
poet/Decode_YYjson_mean                             8781431 ns      8761462 ns            5 bytes_per_second=382.373Mi/s testdata/poet.json
poet/Decode_YYjson_median                           8784391 ns      8762757 ns            5 bytes_per_second=382.316Mi/s testdata/poet.json
poet/Decode_YYjson_stddev                              6210 ns         5557 ns            5 bytes_per_second=248.519Ki/s testdata/poet.json
poet/Decode_YYjson_cv                                  0.07 %          0.06 %             5 bytes_per_second=0.06% testdata/poet.json
poet/Decode_SIMDjson_mean                           2400205 ns      2394465 ns            5 bytes_per_second=1.36643Gi/s testdata/poet.json
poet/Decode_SIMDjson_median                         2389693 ns      2384089 ns            5 bytes_per_second=1.37228Gi/s testdata/poet.json
poet/Decode_SIMDjson_stddev                           23147 ns        23254 ns            5 bytes_per_second=13.4145Mi/s testdata/poet.json
poet/Decode_SIMDjson_cv                                0.96 %          0.97 %             5 bytes_per_second=0.96% testdata/poet.json
poet/Decode_JsonCpp_mean                           81011456 ns     80814858 ns            5 bytes_per_second=41.4552Mi/s testdata/poet.json
poet/Decode_JsonCpp_median                         80854056 ns     80666488 ns            5 bytes_per_second=41.5308Mi/s testdata/poet.json
poet/Decode_JsonCpp_stddev                           365996 ns       356332 ns            5 bytes_per_second=186.227Ki/s testdata/poet.json
poet/Decode_JsonCpp_cv                                 0.45 %          0.44 %             5 bytes_per_second=0.44% testdata/poet.json
book/Decode_SonicDyn_mean                               853 ns          851 ns            5 bytes_per_second=412Mi/s testdata/book.json
book/Decode_SonicDyn_median                             833 ns          831 ns            5 bytes_per_second=421.009Mi/s testdata/book.json
book/Decode_SonicDyn_stddev                            47.5 ns         47.3 ns            5 bytes_per_second=21.29Mi/s testdata/book.json
book/Decode_SonicDyn_cv                                5.57 %          5.55 %             5 bytes_per_second=5.17% testdata/book.json
book/Decode_Rapidjson_mean                             1569 ns         1567 ns            5 bytes_per_second=223.546Mi/s testdata/book.json
book/Decode_Rapidjson_median                           1542 ns         1540 ns            5 bytes_per_second=227.341Mi/s testdata/book.json
book/Decode_Rapidjson_stddev                           43.6 ns         43.5 ns            5 bytes_per_second=6.1411Mi/s testdata/book.json
book/Decode_Rapidjson_cv                               2.78 %          2.77 %             5 bytes_per_second=2.75% testdata/book.json
book/Decode_YYjson_mean                                2184 ns         2178 ns            5 bytes_per_second=160.721Mi/s testdata/book.json
book/Decode_YYjson_median                              2177 ns         2173 ns            5 bytes_per_second=161.083Mi/s testdata/book.json
book/Decode_YYjson_stddev                              30.8 ns         30.5 ns            5 bytes_per_second=2.22984Mi/s testdata/book.json
book/Decode_YYjson_cv                                  1.41 %          1.40 %             5 bytes_per_second=1.39% testdata/book.json
book/Decode_SIMDjson_mean                               856 ns          854 ns            5 bytes_per_second=409.757Mi/s testdata/book.json
book/Decode_SIMDjson_median                             855 ns          854 ns            5 bytes_per_second=409.921Mi/s testdata/book.json
book/Decode_SIMDjson_stddev                            2.05 ns         2.04 ns            5 bytes_per_second=997.394Ki/s testdata/book.json
book/Decode_SIMDjson_cv                                0.24 %          0.24 %             5 bytes_per_second=0.24% testdata/book.json
book/Decode_JsonCpp_mean                              72272 ns        72128 ns            5 bytes_per_second=4.8525Mi/s testdata/book.json
book/Decode_JsonCpp_median                            72261 ns        72118 ns            5 bytes_per_second=4.85315Mi/s testdata/book.json
book/Decode_JsonCpp_stddev                              118 ns         99.9 ns            5 bytes_per_second=6.87789Ki/s testdata/book.json
book/Decode_JsonCpp_cv                                 0.16 %          0.14 %             5 bytes_per_second=0.14% testdata/book.json
canada/Decode_SonicDyn_mean                         5230961 ns      5218643 ns            5 bytes_per_second=411.366Mi/s testdata/canada.json
canada/Decode_SonicDyn_median                       5230462 ns      5218215 ns            5 bytes_per_second=411.399Mi/s testdata/canada.json
canada/Decode_SonicDyn_stddev                          7381 ns         8257 ns            5 bytes_per_second=666.206Ki/s testdata/canada.json
canada/Decode_SonicDyn_cv                              0.14 %          0.16 %             5 bytes_per_second=0.16% testdata/canada.json
canada/Decode_Rapidjson_mean                        5311777 ns      5297159 ns            5 bytes_per_second=405.272Mi/s testdata/canada.json
canada/Decode_Rapidjson_median                      5302361 ns      5288238 ns            5 bytes_per_second=405.952Mi/s testdata/canada.json
canada/Decode_Rapidjson_stddev                        18407 ns        17341 ns            5 bytes_per_second=1.32344Mi/s testdata/canada.json
canada/Decode_Rapidjson_cv                             0.35 %          0.33 %             5 bytes_per_second=0.33% testdata/canada.json
canada/Decode_YYjson_mean                          14770339 ns     14741231 ns            5 bytes_per_second=145.631Mi/s testdata/canada.json
canada/Decode_YYjson_median                        14754346 ns     14729732 ns            5 bytes_per_second=145.744Mi/s testdata/canada.json
canada/Decode_YYjson_stddev                           31757 ns        28711 ns            5 bytes_per_second=289.707Ki/s testdata/canada.json
canada/Decode_YYjson_cv                                0.22 %          0.19 %             5 bytes_per_second=0.19% testdata/canada.json
canada/Decode_SIMDjson_mean                         3864745 ns      3857329 ns            5 bytes_per_second=556.543Mi/s testdata/canada.json
canada/Decode_SIMDjson_median                       3864699 ns      3857675 ns            5 bytes_per_second=556.493Mi/s testdata/canada.json
canada/Decode_SIMDjson_stddev                          1464 ns          739 ns            5 bytes_per_second=109.27Ki/s testdata/canada.json
canada/Decode_SIMDjson_cv                              0.04 %          0.02 %             5 bytes_per_second=0.02% testdata/canada.json
canada/Decode_JsonCpp_mean                        316370591 ns    315685616 ns            5 bytes_per_second=6.80045Mi/s testdata/canada.json
canada/Decode_JsonCpp_median                      316013910 ns    315313045 ns            5 bytes_per_second=6.80838Mi/s testdata/canada.json
canada/Decode_JsonCpp_stddev                        1414582 ns      1426347 ns            5 bytes_per_second=31.4197Ki/s testdata/canada.json
canada/Decode_JsonCpp_cv                               0.45 %          0.45 %             5 bytes_per_second=0.45% testdata/canada.json
gsoc-2018/Decode_SonicDyn_mean                      1314717 ns      1311925 ns            5 bytes_per_second=2.36263Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SonicDyn_median                    1307153 ns      1304196 ns            5 bytes_per_second=2.37639Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SonicDyn_stddev                      14938 ns        14794 ns            5 bytes_per_second=26.8976Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SonicDyn_cv                           1.14 %          1.13 %             5 bytes_per_second=1.11% testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_mean                    11318775 ns     11296504 ns            5 bytes_per_second=280.943Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_median                  11309792 ns     11286685 ns            5 bytes_per_second=281.187Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_stddev                     23114 ns        22496 ns            5 bytes_per_second=572.12Ki/s testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_cv                          0.20 %          0.20 %             5 bytes_per_second=0.20% testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_mean                        9668721 ns      9645340 ns            5 bytes_per_second=329.044Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_median                      9644036 ns      9621624 ns            5 bytes_per_second=329.847Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_stddev                        56689 ns        53693 ns            5 bytes_per_second=1.81824Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_cv                             0.59 %          0.56 %             5 bytes_per_second=0.55% testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_mean                      1703328 ns      1698668 ns            5 bytes_per_second=1.82478Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_median                    1693321 ns      1688377 ns            5 bytes_per_second=1.83566Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_stddev                      22381 ns        21942 ns            5 bytes_per_second=23.7296Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_cv                           1.31 %          1.29 %             5 bytes_per_second=1.27% testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_mean                      57183406 ns     57078742 ns            5 bytes_per_second=55.6017Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_median                    57145579 ns     57052404 ns            5 bytes_per_second=55.6272Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_stddev                       73902 ns        84249 ns            5 bytes_per_second=83.9019Ki/s testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_cv                            0.13 %          0.15 %             5 bytes_per_second=0.15% testdata/gsoc-2018.json
