                       	__strcpy_chk	normal_strcpy
Length   16, alignment  1/ 1:	4.43005	2.43331
Length   16, alignment  1/ 1:	4.36254	2.49076
Length   32, alignment  2/ 4:	4.36444	2.50137
Length   32, alignment  4/ 2:	4.32454	2.54287
Length   32, alignment  2/ 2:	4.32454	2.47124
Length   32, alignment  2/ 2:	4.38222	2.48206
Length   64, alignment  3/ 6:	4.28082	2.43354
Length   64, alignment  6/ 3:	4.24901	2.43255
Length   64, alignment  3/ 3:	4.40931	2.43392
Length   64, alignment  3/ 3:	4.39923	2.43263
Length  128, alignment  4/ 0:	6.1336	2.97334
Length  128, alignment  0/ 4:	5.87679	3.02346
Length  128, alignment  4/ 4:	6.12452	3.09502
Length  128, alignment  4/ 4:	6.42108	3.02354
Length  256, alignment  5/ 2:	9.89408	5.21896
Length  256, alignment  2/ 5:	10.151	5.23681
Length  256, alignment  5/ 5:	9.94061	4.93788
Length  256, alignment  5/ 5:	9.88859	5.05248
Length  512, alignment  6/ 4:	11.379	7.3712
Length  512, alignment  4/ 6:	11.1883	7.50502
Length  512, alignment  6/ 6:	10.8115	6.78272
Length  512, alignment  6/ 6:	10.5662	6.59771
Length 1024, alignment  7/ 6:	17.5507	11.988
Length 1024, alignment  6/ 7:	19.2701	11.7861
Length 1024, alignment  7/ 7:	17.4117	10.45
Length 1024, alignment  7/ 7:	17.2891	10.4906
Length    0, alignment  0/ 0:	4.3781	2.47985
Length    0, alignment  0/ 0:	4.35056	2.47939
Length    0, alignment  0/ 0:	4.37718	2.43255
Didn't expect signal from child: got `Aborted'
