[snappy-benchmark] cd SOURCE_DIR && ./build/snappy_benchmark
2026-08-18T17:21:34+08:00
Running ./build/snappy_benchmark
Run on (256 X 2900 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x128)
  L1 Instruction 64 KiB (x128)
  L2 Unified 1280 KiB (x128)
  L3 Unified 57344 KiB (x4)
Load Average: 0.70, 0.27, 0.15
----------------------------------------------------------------------------------------
Benchmark                              Time             CPU   Iterations UserCounters...
BM_ZFlat/0/2                      117284 ns       117225 ns         5944 bytes_per_second=833.064M/s html (20.70 %)
BM_ZFlat/1/1                     1345027 ns      1344014 ns          520 bytes_per_second=498.181M/s urls (47.31 %)
BM_ZFlat/1/2                     1717043 ns      1715788 ns          408 bytes_per_second=390.236M/s urls (45.43 %)
BM_ZFlat/2/1                        4690 ns         4688 ns       149488 bytes_per_second=24.4553G/s jpg (99.95 %)
BM_ZFlat/2/2                       36120 ns        36102 ns        19390 bytes_per_second=3.17545G/s jpg (99.95 %)
BM_ZFlat/3/1                         241 ns          241 ns      2916161 bytes_per_second=792.496M/s jpg_200 (73.00 %)
BM_ZFlat/3/2                         353 ns          353 ns      1983284 bytes_per_second=540.099M/s jpg_200 (72.50 %)
BM_ZFlat/4/1                        8842 ns         8837 ns        79114 bytes_per_second=10.7919G/s pdf (83.30 %)
BM_ZFlat/4/2                      142489 ns       142419 ns         4916 bytes_per_second=685.699M/s pdf (80.99 %)
BM_ZFlat/5/1                      476902 ns       476612 ns         1469 bytes_per_second=819.588M/s html4 (22.44 %)
BM_ZFlat/5/2                      556386 ns       556097 ns         1260 bytes_per_second=702.44M/s html4 (20.82 %)
BM_ZFlat/6/1                      461016 ns       460771 ns         1519 bytes_per_second=314.784M/s txt1 (57.02 %)
BM_ZFlat/6/2                      580168 ns       579876 ns         1207 bytes_per_second=250.128M/s txt1 (52.31 %)
BM_ZFlat/7/1                      350366 ns       350191 ns         1999 bytes_per_second=340.9M/s txt2 (61.03 %)
BM_ZFlat/7/2                      510802 ns       510531 ns         1371 bytes_per_second=233.835M/s txt2 (56.77 %)
BM_ZFlat/8/1                     1236393 ns      1235691 ns          567 bytes_per_second=329.358M/s txt3 (54.30 %)
BM_ZFlat/8/2                     1561991 ns      1561064 ns          448 bytes_per_second=260.71M/s txt3 (49.40 %)
BM_ZFlat/9/1                     1531776 ns      1530873 ns          457 bytes_per_second=300.181M/s txt4 (65.32 %)
BM_ZFlat/9/2                     2124372 ns      2122902 ns          330 bytes_per_second=216.467M/s txt4 (60.99 %)
BM_ZFlat/10/1                      64182 ns        64152 ns        10877 bytes_per_second=1.72161G/s pb (19.60 %)
BM_ZFlat/10/2                      79470 ns        79428 ns         8600 bytes_per_second=1.39048G/s pb (18.33 %)
BM_ZFlat/11/1                     377947 ns       377756 ns         1852 bytes_per_second=465.33M/s gaviota (37.68 %)
BM_ZFlat/11/2                     463538 ns       463299 ns         1512 bytes_per_second=379.412M/s gaviota (31.21 %)
BM_ZFlatAll/1                    6193727 ns      6187913 ns          112 bytes_per_second=451.348M/s 12 kTestDataFiles
BM_ZFlatAll/2                    8113834 ns      8106458 ns           86 bytes_per_second=344.528M/s 12 kTestDataFiles
BM_ZFlatIncreasingTableSize/1      52727 ns        52701 ns        13263 bytes_per_second=1.15362G/s 8 tables
BM_ZFlatIncreasingTableSize/2      73374 ns        73339 ns         9541 bytes_per_second=848.88M/s 8 tables
[snappy-benchmark] normalized 4 core metrics
