[sonic] running official CMake benchmark (benchmark/main.cpp)
2026-08-24T02:22:22+00:00
Running /tmp/boostkit-perf/32682799285-1/HPC/sonic/1.0.2/x86_64/build/benchmark/bench
Run on (16 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1024 KiB (x8)
  L3 Unified 32768 KiB (x1)
Load Average: 1.27, 0.35, 0.11
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
twitter/Decode_SIMDjson_stddev                          134 ns          133 ns            5 bytes_per_second=5.05522Mi/s testdata/twitter.json
twitter/Decode_SIMDjson_cv                             0.16 %          0.16 %             5 bytes_per_second=0.16% testdata/twitter.json
twitter/Decode_JsonCpp_mean                         9701892 ns      9671888 ns            5 bytes_per_second=26.0689Mi/s testdata/twitter.json
twitter/Decode_JsonCpp_median                       9702078 ns      9672230 ns            5 bytes_per_second=26.068Mi/s testdata/twitter.json
twitter/Decode_JsonCpp_stddev                         13127 ns        12942 ns            5 bytes_per_second=35.717Ki/s testdata/twitter.json
twitter/Decode_JsonCpp_cv                              0.14 %          0.13 %             5 bytes_per_second=0.13% testdata/twitter.json
poet/Decode_SonicDyn_mean                            817304 ns       814151 ns            5 bytes_per_second=4.01847Gi/s testdata/poet.json
poet/Decode_SonicDyn_median                          815920 ns       812757 ns            5 bytes_per_second=4.02534Gi/s testdata/poet.json
poet/Decode_SonicDyn_stddev                            2141 ns         2132 ns            5 bytes_per_second=10.7634Mi/s testdata/poet.json
poet/Decode_SonicDyn_cv                                0.26 %          0.26 %             5 bytes_per_second=0.26% testdata/poet.json
poet/Decode_Rapidjson_mean                          4816558 ns      4798131 ns            5 bytes_per_second=698.219Mi/s testdata/poet.json
poet/Decode_Rapidjson_median                        4816207 ns      4797759 ns            5 bytes_per_second=698.273Mi/s testdata/poet.json
poet/Decode_Rapidjson_stddev                           1226 ns         1271 ns            5 bytes_per_second=189.398Ki/s testdata/poet.json
poet/Decode_Rapidjson_cv                               0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/poet.json
poet/Decode_YYjson_mean                             2703089 ns      2692710 ns            5 bytes_per_second=1.21499Gi/s testdata/poet.json
poet/Decode_YYjson_median                           2703254 ns      2692740 ns            5 bytes_per_second=1.21498Gi/s testdata/poet.json
poet/Decode_YYjson_stddev                               513 ns          503 ns            5 bytes_per_second=237.989Ki/s testdata/poet.json
poet/Decode_YYjson_cv                                  0.02 %          0.02 %             5 bytes_per_second=0.02% testdata/poet.json
poet/Decode_SIMDjson_mean                            959212 ns       955470 ns            5 bytes_per_second=3.4241Gi/s testdata/poet.json
poet/Decode_SIMDjson_median                          959067 ns       955336 ns            5 bytes_per_second=3.42458Gi/s testdata/poet.json
poet/Decode_SIMDjson_stddev                             519 ns          511 ns            5 bytes_per_second=1.87607Mi/s testdata/poet.json
poet/Decode_SIMDjson_cv                                0.05 %          0.05 %             5 bytes_per_second=0.05% testdata/poet.json
poet/Decode_JsonCpp_mean                           75663925 ns     75429585 ns            5 bytes_per_second=44.4142Mi/s testdata/poet.json
poet/Decode_JsonCpp_median                         75674340 ns     75440159 ns            5 bytes_per_second=44.408Mi/s testdata/poet.json
poet/Decode_JsonCpp_stddev                            66138 ns        62824 ns            5 bytes_per_second=37.8963Ki/s testdata/poet.json
poet/Decode_JsonCpp_cv                                 0.09 %          0.08 %             5 bytes_per_second=0.08% testdata/poet.json
otfcc/Decode_SonicDyn_mean                        143850395 ns    143276742 ns            5 bytes_per_second=442.039Mi/s testdata/otfcc.json
otfcc/Decode_SonicDyn_median                      144071267 ns    143494628 ns            5 bytes_per_second=441.36Mi/s testdata/otfcc.json
otfcc/Decode_SonicDyn_stddev                         640870 ns       634575 ns            5 bytes_per_second=1.96714Mi/s testdata/otfcc.json
otfcc/Decode_SonicDyn_cv                               0.45 %          0.44 %             5 bytes_per_second=0.45% testdata/otfcc.json
otfcc/Decode_Rapidjson_mean                       220511061 ns    219637523 ns            5 bytes_per_second=288.375Mi/s testdata/otfcc.json
otfcc/Decode_Rapidjson_median                     221126701 ns    220256420 ns            5 bytes_per_second=287.541Mi/s testdata/otfcc.json
otfcc/Decode_Rapidjson_stddev                       2192641 ns      2192205 ns            5 bytes_per_second=2.8802Mi/s testdata/otfcc.json
otfcc/Decode_Rapidjson_cv                              0.99 %          1.00 %             5 bytes_per_second=1.00% testdata/otfcc.json
otfcc/Decode_YYjson_mean                          183499057 ns    182746518 ns            5 bytes_per_second=346.561Mi/s testdata/otfcc.json
otfcc/Decode_YYjson_median                        183510054 ns    182755753 ns            5 bytes_per_second=346.544Mi/s testdata/otfcc.json
otfcc/Decode_YYjson_stddev                            23866 ns        21799 ns            5 bytes_per_second=42.334Ki/s testdata/otfcc.json
otfcc/Decode_YYjson_cv                                 0.01 %          0.01 %             5 bytes_per_second=0.01% testdata/otfcc.json
otfcc/Decode_SIMDjson_mean                        111887549 ns    111415201 ns            5 bytes_per_second=568.44Mi/s testdata/otfcc.json
otfcc/Decode_SIMDjson_median                      111873110 ns    111404358 ns            5 bytes_per_second=568.495Mi/s testdata/otfcc.json
otfcc/Decode_SIMDjson_stddev                          64185 ns        66466 ns            5 bytes_per_second=347.258Ki/s testdata/otfcc.json
otfcc/Decode_SIMDjson_cv                               0.06 %          0.06 %             5 bytes_per_second=0.06% testdata/otfcc.json
otfcc/Decode_JsonCpp_mean                        1.2560e+10 ns   1.2522e+10 ns            5 bytes_per_second=5.05963Mi/s testdata/otfcc.json
otfcc/Decode_JsonCpp_median                      1.2668e+10 ns   1.2631e+10 ns            5 bytes_per_second=5.01415Mi/s testdata/otfcc.json
otfcc/Decode_JsonCpp_stddev                       282891459 ns    281459059 ns            5 bytes_per_second=116.943Ki/s testdata/otfcc.json
otfcc/Decode_JsonCpp_cv                                2.25 %          2.25 %             5 bytes_per_second=2.26% testdata/otfcc.json
