                       	strsep
Length   16/4, alignment  3/ 9, fail:	15.0867
Length   16/4, alignment  3/15, found:	17.0166
Length   16/4, alignment  3/15, fail:	15.0769
Length   16/4, alignment  9/ 0, found:	17.2327
Length   16/4, alignment  9/ 0, fail:	15.0867
Length   16/4, alignment  9/ 3, found:	17.2217
Length   16/4, alignment  9/ 3, fail:	15.0818
Length   16/4, alignment  9/ 9, found:	17.2229
Length   16/4, alignment  9/ 9, fail:	15.0769
Length   16/4, alignment  9/15, found:	17.2168
Length   16/4, alignment  9/15, fail:	15.0757
Length   16/4, alignment 15/ 0, found:	17.218
Length   16/4, alignment 15/ 0, fail:	15.0854
Length   16/4, alignment 15/ 3, found:	17.8662
Length   16/4, alignment 15/ 3, fail:	15.0867
Length   16/4, alignment 15/ 9, found:	17.2241
Length   16/4, alignment 15/ 9, fail:	15.0842
Length   16/4, alignment 15/15, found:	17.2131
Length   16/4, alignment 15/15, fail:	15.0659
Length   20/4, alignment  0/ 0, found:	17.0239
Length   20/4, alignment  0/ 0, fail:	15.1514
Length   20/4, alignment  0/ 3, found:	17.0178
Length   20/4, alignment  0/ 3, fail:	15.0989
Length   20/4, alignment  0/ 9, found:	17.019
Length   20/4, alignment  0/ 9, fail:	15.0745
Length   20/4, alignment  0/15, found:	17.0239
Length   20/4, alignment  0/15, fail:	15.0757
Length   20/4, alignment  3/ 0, found:	17.0178
Length   20/4, alignment  3/ 0, fail:	15.0854
Length   20/4, alignment  3/ 3, found:	17.019
Length   20/4, alignment  3/ 3, fail:	15.0781
Length   20/4, alignment  3/ 9, found:	17.0142
Length   20/4, alignment  3/ 9, fail:	15.1416
Length   20/4, alignment  3/15, found:	17.0215
Length   20/4, alignment  3/15, fail:	15.2039
Length   20/4, alignment  9/ 0, found:	17.2583
Length   20/4, alignment  9/ 0, fail:	15.1819
Length   20/4, alignment  9/ 3, found:	17.2229
Length   20/4, alignment  9/ 3, fail:	15.0818
Length   20/4, alignment  9/ 9, found:	17.2253
Length   20/4, alignment  9/ 9, fail:	15.0769
Length   20/4, alignment  9/15, found:	17.218
Length   20/4, alignment  9/15, fail:	15.4944
Length   20/4, alignment 15/ 0, found:	17.2241
Length   20/4, alignment 15/ 0, fail:	15.9729
Length   20/4, alignment 15/ 3, found:	17.1643
Length   20/4, alignment 15/ 3, fail:	15.9583
Length   20/4, alignment 15/ 9, found:	17.2168
Length   20/4, alignment 15/ 9, fail:	15.9583
Length   20/4, alignment 15/15, found:	17.2095
Length   20/4, alignment 15/15, fail:	15.9546
Length   24/4, alignment  0/ 0, found:	17.019
Length   24/4, alignment  0/ 0, fail:	15.1331
Length   24/4, alignment  0/ 3, found:	17.0215
Length   24/4, alignment  0/ 3, fail:	15.2087
Length   24/4, alignment  0/ 9, found:	17.0203
Length   24/4, alignment  0/ 9, fail:	15.0842
Length   24/4, alignment  0/15, found:	17.0166
Length   24/4, alignment  0/15, fail:	15.0977
Length   24/4, alignment  3/ 0, found:	17.0178
Length   24/4, alignment  3/ 0, fail:	15.1965
Length   24/4, alignment  3/ 3, found:	17.0178
Length   24/4, alignment  3/ 3, fail:	15.0891
Length   24/4, alignment  3/ 9, found:	17.0166
Length   24/4, alignment  3/ 9, fail:	15.0818
Length   24/4, alignment  3/15, found:	17.0215
Length   24/4, alignment  3/15, fail:	15.0671
Length   24/4, alignment  9/ 0, found:	17.2229
Length   24/4, alignment  9/ 0, fail:	15.9497
Length   24/4, alignment  9/ 3, found:	17.2278
Length   24/4, alignment  9/ 3, fail:	15.9448
Length   24/4, alignment  9/ 9, found:	17.2241
Length   24/4, alignment  9/ 9, fail:	16.3184
Length   24/4, alignment  9/15, found:	17.2009
Length   24/4, alignment  9/15, fail:	15.9473
