                       	__stpcpy_chk	normal_stpcpy
Length  128, alignment  4/ 0:	7.35466	5.12863
Length  256, alignment  0/ 0:	11.3551	8.74001
Length  256, alignment  3/ 2:	11.3661	8.72658
Length  512, alignment  0/ 0:	20.9647	14.4897
Length  512, alignment  2/ 4:	20.9973	14.5299
Length 1024, alignment  0/ 0:	37.1337	26.8149
Length 1024, alignment  1/ 6:	38.6015	27.093
Length   16, alignment  1/ 2:	4.11285	2.3954
Length   16, alignment  2/ 1:	4.1127	2.39334
Length   16, alignment  1/ 1:	4.11125	2.39418
Length   16, alignment  1/ 1:	4.12453	2.3954
Length   32, alignment  2/ 4:	5.0502	3.16673
Length   32, alignment  4/ 2:	5.08514	3.16673
Length   32, alignment  2/ 2:	5.05562	3.16673
Length   32, alignment  2/ 2:	5.06088	3.16658
Length   64, alignment  3/ 6:	5.94177	3.78258
Length   64, alignment  6/ 3:	5.94025	3.78227
Length   64, alignment  3/ 3:	5.95032	3.78242
Length   64, alignment  3/ 3:	5.93811	3.78113
Length  128, alignment  4/ 0:	7.33635	5.12657
Length  128, alignment  0/ 4:	7.34421	5.12848
Length  128, alignment  4/ 4:	7.34108	5.12817
Length  128, alignment  4/ 4:	7.34116	5.15129
Length  256, alignment  5/ 2:	11.3677	8.72482
Length  256, alignment  2/ 5:	11.38	8.72688
Length  256, alignment  5/ 5:	11.3674	8.74046
Length  256, alignment  5/ 5:	11.371	8.72826
Length  512, alignment  6/ 4:	21.0756	14.4881
Length  512, alignment  4/ 6:	21.2189	14.5033
Length  512, alignment  6/ 6:	20.4491	14.5264
Length  512, alignment  6/ 6:	20.3559	14.4989
Length 1024, alignment  7/ 6:	38.6666	27.0773
Length 1024, alignment  6/ 7:	38.5653	27.111
Length 1024, alignment  7/ 7:	37.1182	26.815
Length 1024, alignment  7/ 7:	37.1167	26.8043
Length    0, alignment  0/ 0:	4.14146	2.46208
Length    0, alignment  0/ 0:	4.09569	2.41402
Length    0, alignment  0/ 0:	4.0966	2.41402
Didn't expect signal from child: got `Aborted'
