                       	strtok
Length   28/2, alignment  0/ 0, fail:	12.9932
Length   28/2, alignment  0/ 3, found:	13.3013
Length   28/2, alignment  0/ 3, fail:	13.0034
Length   28/2, alignment  0/ 9, found:	13.2671
Length   28/2, alignment  0/ 9, fail:	12.9839
Length   28/2, alignment  0/15, found:	13.8286
Length   28/2, alignment  0/15, fail:	17.0562
Length   28/2, alignment  3/ 0, found:	13.272
Length   28/2, alignment  3/ 0, fail:	13.0029
Length   28/2, alignment  3/ 3, found:	13.2915
Length   28/2, alignment  3/ 3, fail:	13.2671
Length   28/2, alignment  3/ 9, found:	13.272
Length   28/2, alignment  3/ 9, fail:	13.2671
Length   28/2, alignment  3/15, found:	13.8091
Length   28/2, alignment  3/15, fail:	13.8086
Length   28/2, alignment  9/ 0, found:	13.0029
Length   28/2, alignment  9/ 0, fail:	12.9985
Length   28/2, alignment  9/ 3, found:	13.272
Length   28/2, alignment  9/ 3, fail:	13.272
Length   28/2, alignment  9/ 9, found:	13.272
Length   28/2, alignment  9/ 9, fail:	13.2568
Length   28/2, alignment  9/15, found:	13.8184
Length   28/2, alignment  9/15, fail:	13.814
Length   28/2, alignment 15/ 0, found:	14.0972
Length   28/2, alignment 15/ 0, fail:	13.2622
Length   28/2, alignment 15/ 3, found:	14.3657
Length   28/2, alignment 15/ 3, fail:	13.272
Length   28/2, alignment 15/ 9, found:	14.3511
Length   28/2, alignment 15/ 9, fail:	13.252
Length   28/2, alignment 15/15, found:	14.9023
Length   28/2, alignment 15/15, fail:	17.1978
Length   30/2, alignment  0/ 0, found:	13.2715
Length   30/2, alignment  0/ 0, fail:	12.9937
Length   30/2, alignment  0/ 3, found:	12.7397
Length   30/2, alignment  0/ 3, fail:	12.9888
Length   30/2, alignment  0/ 9, found:	12.9937
Length   30/2, alignment  0/ 9, fail:	12.9932
Length   30/2, alignment  0/15, found:	13.5552
Length   30/2, alignment  0/15, fail:	13.5405
Length   30/2, alignment  3/ 0, found:	15.811
Length   30/2, alignment  3/ 0, fail:	12.4712
Length   30/2, alignment  3/ 3, found:	13.2964
Length   30/2, alignment  3/ 3, fail:	13.272
Length   30/2, alignment  3/ 9, found:	13.2715
Length   30/2, alignment  3/ 9, fail:	13.2573
Length   30/2, alignment  3/15, found:	13.5552
Length   30/2, alignment  3/15, fail:	13.5552
Length   30/2, alignment  9/ 0, found:	12.4663
Length   30/2, alignment  9/ 0, fail:	12.4468
Length   30/2, alignment  9/ 3, found:	13.2861
Length   30/2, alignment  9/ 3, fail:	13.2622
Length   30/2, alignment  9/ 9, found:	13.2622
Length   30/2, alignment  9/ 9, fail:	13.2573
Length   30/2, alignment  9/15, found:	13.5503
Length   30/2, alignment  9/15, fail:	13.5356
Length   30/2, alignment 15/ 0, found:	13.0029
Length   30/2, alignment 15/ 0, fail:	12.7246
Length   30/2, alignment 15/ 3, found:	13.8481
Length   30/2, alignment 15/ 3, fail:	13.5503
Length   30/2, alignment 15/ 9, found:	13.8042
Length   30/2, alignment 15/ 9, fail:	13.5308
Length   30/2, alignment 15/15, found:	14.1167
Length   30/2, alignment 15/15, fail:	13.8086
Length    6/3, alignment  0/ 0, found:	15.2393
Length    6/3, alignment  0/ 0, fail:	11.1333
Length    6/3, alignment  0/ 3, found:	11.9487
