[sonic-cpp] running official CMake benchmark (benchmark/main.cpp)
2026-09-08T11:02:06+08:00
Running /home/runner/boostkit-perf/sonic-cpp/1.0.2/x86_64/34181714311-2/build/benchmark/bench
Run on (384 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x192)
  L1 Instruction 32 KiB (x192)
  L2 Unified 1024 KiB (x192)
  L3 Unified 32768 KiB (x24)
Load Average: 0.63, 1.89, 1.86
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
canada/Decode_SIMDjson_stddev                          5586 ns         5308 ns            5 bytes_per_second=2.52759Mi/s testdata/canada.json
canada/Decode_SIMDjson_cv                              0.26 %          0.25 %             5 bytes_per_second=0.25% testdata/canada.json
canada/Decode_JsonCpp_mean                        314899657 ns    313710569 ns            5 bytes_per_second=6.84323Mi/s testdata/canada.json
canada/Decode_JsonCpp_median                      314299822 ns    313125279 ns            5 bytes_per_second=6.85594Mi/s testdata/canada.json
canada/Decode_JsonCpp_stddev                        1165360 ns      1171790 ns            5 bytes_per_second=26.138Ki/s testdata/canada.json
canada/Decode_JsonCpp_cv                               0.37 %          0.37 %             5 bytes_per_second=0.37% testdata/canada.json
lottie/Decode_SonicDyn_mean                          429214 ns       427374 ns            5 bytes_per_second=644.741Mi/s testdata/lottie.json
lottie/Decode_SonicDyn_median                        429514 ns       427675 ns            5 bytes_per_second=644.283Mi/s testdata/lottie.json
lottie/Decode_SonicDyn_stddev                           982 ns          983 ns            5 bytes_per_second=1.48612Mi/s testdata/lottie.json
lottie/Decode_SonicDyn_cv                              0.23 %          0.23 %             5 bytes_per_second=0.23% testdata/lottie.json
lottie/Decode_Rapidjson_mean                         839512 ns       835931 ns            5 bytes_per_second=329.629Mi/s testdata/lottie.json
lottie/Decode_Rapidjson_median                       840783 ns       837213 ns            5 bytes_per_second=329.121Mi/s testdata/lottie.json
lottie/Decode_Rapidjson_stddev                         3030 ns         3017 ns            5 bytes_per_second=1.19437Mi/s testdata/lottie.json
lottie/Decode_Rapidjson_cv                             0.36 %          0.36 %             5 bytes_per_second=0.36% testdata/lottie.json
lottie/Decode_YYjson_mean                            874679 ns       870909 ns            5 bytes_per_second=316.387Mi/s testdata/lottie.json
lottie/Decode_YYjson_median                          874530 ns       870725 ns            5 bytes_per_second=316.454Mi/s testdata/lottie.json
lottie/Decode_YYjson_stddev                             441 ns          436 ns            5 bytes_per_second=162.146Ki/s testdata/lottie.json
lottie/Decode_YYjson_cv                                0.05 %          0.05 %             5 bytes_per_second=0.05% testdata/lottie.json
lottie/Decode_SIMDjson_mean                          344030 ns       342591 ns            5 bytes_per_second=804.301Mi/s testdata/lottie.json
lottie/Decode_SIMDjson_median                        343869 ns       342422 ns            5 bytes_per_second=804.693Mi/s testdata/lottie.json
lottie/Decode_SIMDjson_stddev                          1147 ns         1138 ns            5 bytes_per_second=2.66276Mi/s testdata/lottie.json
lottie/Decode_SIMDjson_cv                              0.33 %          0.33 %             5 bytes_per_second=0.33% testdata/lottie.json
lottie/Decode_JsonCpp_mean                         74275015 ns     73989054 ns            5 bytes_per_second=3.72425Mi/s testdata/lottie.json
lottie/Decode_JsonCpp_median                       74053804 ns     73764049 ns            5 bytes_per_second=3.73548Mi/s testdata/lottie.json
lottie/Decode_JsonCpp_stddev                         496509 ns       489928 ns            5 bytes_per_second=25.2092Ki/s testdata/lottie.json
lottie/Decode_JsonCpp_cv                               0.67 %          0.66 %             5 bytes_per_second=0.66% testdata/lottie.json
book/Decode_SonicDyn_mean                               461 ns          459 ns            5 bytes_per_second=762.053Mi/s testdata/book.json
book/Decode_SonicDyn_median                             461 ns          459 ns            5 bytes_per_second=762.815Mi/s testdata/book.json
book/Decode_SonicDyn_stddev                            2.22 ns         2.19 ns            5 bytes_per_second=3.63949Mi/s testdata/book.json
book/Decode_SonicDyn_cv                                0.48 %          0.48 %             5 bytes_per_second=0.48% testdata/book.json
book/Decode_Rapidjson_mean                              902 ns          899 ns            5 bytes_per_second=389.511Mi/s testdata/book.json
book/Decode_Rapidjson_median                            899 ns          895 ns            5 bytes_per_second=390.92Mi/s testdata/book.json
book/Decode_Rapidjson_stddev                           6.75 ns         6.68 ns            5 bytes_per_second=2.87228Mi/s testdata/book.json
book/Decode_Rapidjson_cv                               0.75 %          0.74 %             5 bytes_per_second=0.74% testdata/book.json
book/Decode_YYjson_mean                                 876 ns          872 ns            5 bytes_per_second=401.198Mi/s testdata/book.json
book/Decode_YYjson_median                               876 ns          872 ns            5 bytes_per_second=401.195Mi/s testdata/book.json
book/Decode_YYjson_stddev                             0.691 ns        0.625 ns            5 bytes_per_second=294.546Ki/s testdata/book.json
book/Decode_YYjson_cv                                  0.08 %          0.07 %             5 bytes_per_second=0.07% testdata/book.json
book/Decode_SIMDjson_mean                               450 ns          448 ns            5 bytes_per_second=781.276Mi/s testdata/book.json
book/Decode_SIMDjson_median                             450 ns          448 ns            5 bytes_per_second=781.201Mi/s testdata/book.json
book/Decode_SIMDjson_stddev                           0.221 ns        0.217 ns            5 bytes_per_second=387.872Ki/s testdata/book.json
book/Decode_SIMDjson_cv                                0.05 %          0.05 %             5 bytes_per_second=0.05% testdata/book.json
book/Decode_JsonCpp_mean                              70055 ns        69793 ns            5 bytes_per_second=5.01486Mi/s testdata/book.json
book/Decode_JsonCpp_median                            69984 ns        69718 ns            5 bytes_per_second=5.02023Mi/s testdata/book.json
book/Decode_JsonCpp_stddev                              163 ns          165 ns            5 bytes_per_second=12.1183Ki/s testdata/book.json
book/Decode_JsonCpp_cv                                 0.23 %          0.24 %             5 bytes_per_second=0.24% testdata/book.json
gsoc-2018/Decode_SonicDyn_mean                       593830 ns       591098 ns            5 bytes_per_second=5.24327Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SonicDyn_median                     593595 ns       590801 ns            5 bytes_per_second=5.2459Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SonicDyn_stddev                        872 ns          718 ns            5 bytes_per_second=6.51599Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SonicDyn_cv                           0.15 %          0.12 %             5 bytes_per_second=0.12% testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_mean                     4411235 ns      4390419 ns            5 bytes_per_second=722.862Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_median                   4411608 ns      4390969 ns            5 bytes_per_second=722.771Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_stddev                      2771 ns         2779 ns            5 bytes_per_second=468.563Ki/s testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_cv                          0.06 %          0.06 %             5 bytes_per_second=0.06% testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_mean                        4214467 ns      4194690 ns            5 bytes_per_second=756.596Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_median                      4209841 ns      4189932 ns            5 bytes_per_second=757.451Mi/s testdata/gsoc-2018.json
